action,date,time,user,error
APPROVED_MATCH,2018-09-11,08:30:01,bruno,none
APPROVED_MATCH,2018-09-11,08:30:02,bruno,integration error
APPROVED_MATCH,2018-09-11,08:30:03,bruno,none
APPROVED_MATCH,2018-09-11,08:30:04,bruno,none
APPROVED_MATCH,2018-09-11,08:30:05,bruno,none
APPROVED_MATCH,2018-09-11,08:30:06,alice,none
APPROVED_MATCH,2018-09-11,08:30:07,elton,integration error
APPROVED_MATCH,2018-09-11,08:30:08,bruno,integration error
APPROVED_MATCH,2018-09-11,08:30:09,bruno,none
APPROVED_MATCH,2018-09-11,08:30:09,bruno,none
APPROVED_MATCH,2018-09-11,08:30:10,elton,none
APPROVED_MATCH,2018-09-11,08:30:11,alice,none
APPROVED_MATCH,2018-09-11,08:30:12,elton,integration error
APPROVED_MATCH,2018-09-11,08:30:13,alice,integration error
APPROVED_MATCH,2018-09-11,08:30:14,bruno,none
APPROVED_MATCH,2018-09-11,08:30:15,bruno,none
